,date,user,conversation,replies number,likes number,rewteets number,cleaned_data,token_data,polarity,bert_sentiment,vader_sentiment
0,2023-03-09 23:59:46+00:00,markyarm,@TaylorLorenz 🙏,0,1,0,taylorlorenz 🙏,taylorlorenz 🙏,"('Neutral', 0.0)","{'Negative': 0.009724914, 'Neutral': 0.508836, 'Positive': 0.48143905}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
0,2023-03-09 23:55:06+00:00,KyndhSouhl,"@TaylorLorenz @rex_woodbury @jean_twenge ""kids now have more homework than ever"" ??",0,0,0,taylorlorenz rexwoodbury jeantwenge kids homework ever ,taylorlorenz rexwoodbury jeantwenge kids homework ever ,"('Neutral', 0.0)","{'Negative': 0.3700827, 'Neutral': 0.5366498, 'Positive': 0.093267515}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
0,2023-03-09 23:44:38+00:00,ryanjwill,"@TaylorLorenz @broderick It’s like climate denial. There is a general covid denial going on, facilitated by the government and corporations.",0,6,0,taylorlorenz broderick it’s like climate denial there general covid denial going on facilitated government corporations,taylorlorenz broderick it’s like climate denial there general covid denial going on facilitated government corporations,"('Positive', 0.05000000000000002)","{'Negative': 0.729441, 'Neutral': 0.25446373, 'Positive': 0.016095277}","{'neg': 0.0, 'neu': 0.848, 'pos': 0.152, 'compound': 0.3612}"
0,2023-03-09 23:23:40+00:00,tvsitcomdad,@TaylorLorenz @rex_woodbury @jean_twenge I highly doubt teens have more homework than ever lol,0,2,0,taylorlorenz rexwoodbury jeantwenge i highly doubt teens homework ever lol,taylorlorenz rexwoodbury jeantwenge i highly doubt teens homework ever lol,"('Positive', 0.48000000000000004)","{'Negative': 0.632039, 'Neutral': 0.32688996, 'Positive': 0.04107101}","{'neg': 0.222, 'neu': 0.556, 'pos': 0.222, 'compound': 0.0018}"
0,2023-03-09 22:59:31+00:00,theycallmeizze,@TaylorLorenz @rex_woodbury @jean_twenge In some parts of the world kids who “casually meet up with their friends” are considered hoodlums and blamed for crime,0,0,0,taylorlorenz rexwoodbury jeantwenge in parts world kids “casually meet friends” considered hoodlums blamed crime,taylorlorenz rexwoodbury jeantwenge in parts world kids “casually meet friends” considered hoodlums blamed crime,"('Negative', -0.5000000000000001)","{'Negative': 0.87325764, 'Neutral': 0.12094252, 'Positive': 0.0057998556}","{'neg': 0.355, 'neu': 0.645, 'pos': 0.0, 'compound': -0.765}"
0,2023-03-09 22:50:21+00:00,GreenZenForest,@TaylorLorenz @rex_woodbury @jean_twenge Also people want to call the police when they see young kids walking alone nowadays too.,0,0,0,taylorlorenz rexwoodbury jeantwenge also people want call police see young kids walking alone nowadays too,taylorlorenz rexwoodbury jeantwenge also people want call police see young kids walking alone nowadays too,"('Positive', 0.1)","{'Negative': 0.50543463, 'Neutral': 0.46841216, 'Positive': 0.026153222}","{'neg': 0.123, 'neu': 0.798, 'pos': 0.08, 'compound': -0.1779}"
0,2023-03-09 22:38:55+00:00,baddestmamajama,"@TaylorLorenz @rex_woodbury @jean_twenge Also, didn't a lot of driver's license restrictions pop up in the last 10-15 years where you have to be over a certain age to drive other minors? Presuming you even  have a car as a teen, which is now vastly more expensive than in the 90s.",1,48,0,taylorlorenz rexwoodbury jeantwenge also didnt lot drivers license restrictions pop last years over certain age drive minors presuming even car teen vastly expensive s,taylorlorenz rexwoodbury jeantwenge also didnt lot drivers license restrictions pop last years over certain age drive minors presuming even car teen vastly expensive s,"('Negative', -0.07142857142857142)","{'Negative': 0.5929846, 'Neutral': 0.37157854, 'Positive': 0.035436787}","{'neg': 0.0, 'neu': 0.913, 'pos': 0.087, 'compound': 0.2732}"
0,2023-03-09 22:37:55+00:00,BobGlec,@TaylorLorenz @rex_woodbury @jean_twenge Does anybody actually have data on how much homework they are getting?,0,0,0,taylorlorenz rexwoodbury jeantwenge does anybody actually data much homework getting,taylorlorenz rexwoodbury jeantwenge does anybody actually data much homework getting,"('Positive', 0.1)","{'Negative': 0.20047612, 'Neutral': 0.7720391, 'Positive': 0.027484724}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
0,2023-03-09 22:37:07+00:00,BobGlec,@TaylorLorenz @rex_woodbury @jean_twenge Aren‘t you the person that handwavingly blames late stage capitalism for everything?,0,0,0,taylorlorenz rexwoodbury jeantwenge aren‘t person handwavingly blames late stage capitalism everything,taylorlorenz rexwoodbury jeantwenge aren‘t person handwavingly blames late stage capitalism everything,"('Negative', -0.3)","{'Negative': 0.6460585, 'Neutral': 0.3326213, 'Positive': 0.021320209}","{'neg': 0.213, 'neu': 0.787, 'pos': 0.0, 'compound': -0.4019}"
0,2023-03-09 22:26:24+00:00,Truthorfiction3,"@TaylorLorenz 

COVID is the new Fight Club. To maintain your place in the financial and influencer food chains, you don't talk about it.",0,0,0,taylorlorenz covid new fight club to maintain place financial influencer food chains dont talk it,taylorlorenz covid new fight club to maintain place financial influencer food chains dont talk it,"('Positive', 0.06818181818181818)","{'Negative': 0.11894827, 'Neutral': 0.67104363, 'Positive': 0.21000805}","{'neg': 0.157, 'neu': 0.843, 'pos': 0.0, 'compound': -0.3818}"
